Bank,Br Code,CQM,MTBF Machine (Y/N),Location,Date,"Call 
Time",Arrival Time,Complete Time,Waiting Time,Call Type (SC/request),Machine Down?,Resp Time,Down Time,MTBF Failure (Y/N),Problem Code,Fault Found  by vendor,Remarks,Gross Down Time,Vendor's Remarks,Multiple same day failure,,JR No.#
HASE,393,4C00,Y,MTR Shek Mun ABC,43985,0.354166667,0.510416667,0.534722222,,Request,N,Request,Request,N,Request,Pm check,"Pretentive Maintenance, ESU activation",,,,,C58224
HASE,379,4C01,Y,Telford House,43983,0.666666667,0.71875,0.729166667,,SC,Y,0.052083333,0.0625,N,NUB,Reject cheque,clean roller as  insert cheque difficult in feeder,,,,,C58400
HASE,379,4C01,Y,Telford House,43986,0.565972222,0.715277778,0.729166667,,SC,Y,0.149305556,0.163194444,N,NUD,jam cheque at scanner.,cleaning and adjust scanner roller,,,,,C58233
HASE,379,4C01,Y,Telford House,43991,0.354166667,0.479166667,0.489583333,,SC,Y,0.125,0.135416667,N,NUD,Jam cheque,"Remove cheque at aligner, adjust thickness gap & feeder pad, clear black line",,,,,C58332
HASE,379,4C01,Y,Telford House,43994,0.600694444,0.670138889,0.677083333,,SC,N,0.069444444,0.076388889,N,NIC,Black line,Clean scanner. Adjust ink roller.,,,,,C57083
HASE,379,4C01,Y,Telford House,44000,0.354166667,0.416666667,0.430555556,,SC,Y,0.0625,0.076388889,N,NUD,jam cheque at scanner.,follow up for scanner replacement due to scanner roller,,,,,C59327
HASE,379,4C01,Y,Telford House,44000,0.434027778,0.701388889,0.736111111,,Request,N,Request,Request,N,Request,Follow up,Replaced scanner unit,,,,,C59133
HASE,379,4C01,Y,Telford House,44012,0.354166667,0.416666667,0.4375,,SC,Y,0.0625,0.083333333,N,NUD,Jam cheque at scanner.,replaced ribbon and pressure roller.,,,,,C59982
HASE,294,4C02,Y,San Po Kong,44011,0.621527778,0.708333333,0.71875,,SC,Y,0.086805556,0.097222222,Y,NGC,Auto reset,"retain card in card holder,collect card and replaced ribbon cartiage",,,,,C59870
HASE,393,4C03,Y,Wan Chai,43998,0.354166667,0.541666667,0.555555556,,SC,Y,0.1875,0.201388889,N,NOA,out of service,Turn on computer,,,,,C59578
