Last Replaced,CQM
10/03/2014,HT Consulting
13/03/2014,HSBC DPM1002/00341 CDM589D
05/05/2014,HT Consulting
08/09/2014,HSBC DPM1002/01014 CQM5803
28/09/2014,HSBC DPM1002/00373 CQM589E
06/10/2014,BOC DPM1002/00993 CDM67061
16/10/2014,BOC DPM1002/00856 CDM67032
28/10/2014,HSBC DPM1002/00373 CQM5812
30/10/2014,HASE DPM1002/00554 CQM4C9E
23/11/2014,HSBC DPM1002/01120 CQM5841
05/12/2014,HASE DPM1002/01020 CQM4C50
12/12/2014,HSBC DPM1002/00374 CQM58BD
13/12/2014,HSBC DPM1002/01010 CQM67178
17/12/2014,HASE DPM1002/00445 CQM4C1F
18/12/2014,BOC DPM1002/01464 CDM67081
23/12/2014,HASE DPM1002/00414 CQM4C13
22/12/2014,HSBC DPM1002/00367 CQM58D2
29/12/2014,HASE DPM1002/00296 CQM4C1C
29/12/2014,HASE DPM1002/00300 CQM4C3D
29/12/2014,BOC DPM1002/00861 CDM67037
31/12/2014,HSBC DPM1002/00832 CQM58CA
14/01/2015,HASE DPM1002/00295 CQM4C1D
17/01/2015,BOC DPM1002/00987 CDM67056
17/01/2015,BOC DPM1002/00791 CDM67021
26/01/2015,NCB DPM1002/01313 CDM67811
30/01/2015,BOC DPM1002/00903 CDM67049
31/01/2015,HSBC DPM1002/00311 CDM589A
30/01/2015,HASE DPM1002/01015 CQM4C45
05/02/2015,HSBC DPM1002/00497 CQM58FE
10/02/2015,BOC DPM1002/00866 CQM67224
17/02/2015,HASE DPM1002/01191 CQM4C70
01/03/2015,HASE DPM1002/00281 CQM4C11
02/03/2015,HASE DPM1002/00292 CQM4C38
02/03/2015,HSBC DPM1002/00227 CQM586B
02/03/2015,HSBC DPM1002/01717 CQM58BB
02/03/2015,HSBC DPM1002/00954 CQM58CF
02/03/2015,HSBC DPM1002/01794 CQM5894
03/03/2015,HASE DPM1002/00283 CQM4C03
03/03/2015,HASE DPM1002/00560 CQM4C1A
03/03/2015,HASE DPM1002/00540 CQM4C19
04/03/2015,HSBC DPM1002/00314 CQM58A4
05/03/2015,HSBC DPM1002/00523 CQM5879
14/03/2015,HASE DPM1002/00554 CQM4C9E
21/04/2015,HASE DPM1002/00560 CQM4C77
29/04/2015,HASE DPM1002/00559 CQM4C16
04/05/2015,HSBC DPM1002/00842 CQM5849
26/05/2015,HSBC DPM1002/01121 CQM5811
04/06/2015,HSBC DPM1002/01436 CQM58A5
07/06/2015,HSBC DPM1002/00311 CQM589A
16/07/2015,HSBC DPM1002/00837 CQM58CC
20/07/2015,HASE DPM1002/00412 CQM4C09
04/08/2015,BOC DPM1002/01251 CDM67179
17/09/2015,HSBC DPM1002/01121 CQM5811
04/11/2015,BOC DPM1002/01142 CQM67111
25/11/2015,BOC DPM1002/01006 CDM67075
30/11/2015,BOC DPM1002/00987 CDM67056
30/11/2015,BOC DPM1002/00866 CQM67224
01/12/2015,BOC DPM1002/01001 CDM67065
01/12/2015,BOC DPM1002/00626 CDM67208
02/12/2015,BOC DPM1002/00988 CDM67070
03/12/2015,HSBC DPM1002/00344 CQM5871
04/12/2015,HSBC DPM1002/00344 CQM5871
07/12/2015,BOC DPM1002/01010 CDM67178
07/12/2015,HASE DPM1002/00296 CQM4C1C
08/12/2015,BOC DPM1002/01234 CQM67113
08/12/2015,BOC DPM1002/00889 CDM67019
08/12/2015,BOC DPM1002/01240 CQM67038
09/12/2015,HASE DPM1002/01126 CQM4C26
11/12/2015,HASE DPM1002/01190 CQM4C65
12/12/2015,HASE DPM1002/00526 CQM4C8E
12/12/2015,HSBC DPM1002/01243 CQM5805
15/12/2015,BOC DPM1002/01463 CDM67194
15/12/2015,HSBC DPM1002/00305 CQM587D
17/12/2015,HASE DPM1002/01020 CQM4C07
16/12/2015,BOC DPM1002/00857 CQM67033
17/12/2015,HASE DPM1002/00296 CQM4C1C
18/12/2015,HASE DPM1002/00303 CQM4C2E
17/12/2015,HASE DPM1002/00550 CQM4C9A
18/12/2015,BOC DPM1002/00633 CDM67001
18/12/2015,HSBC DPM1002/00396 CQM58C3
17/12/2015,BOC DPM1002/00855 CDM67031
17/12/2015,BOC DPM1002/00995 CDM67066
19/12/2015,BOC DPM1002/01357 CDM67168
16/12/2015,HASE DPM1002/00536 CQM4C60
18/12/2015,BOC DPM1002/00864 CDM67040
19/12/2015,HSBC DPM1002/00343 CQM58ED
21/12/2015,HSBC DPM1002/00497 CQM58FE
21/12/2015,BOC DPM1002/00949 CQM67052
22/12/2015,BOC DPM1002/01251 CQM67179
22/12/2015,HASE DPM1002/00303 CQM4C2E
31/12/2016,BOC DPM1002/00903 CDM67049
30/12/2016,BOC DPM1002/00998 CDM67069
01/01/2016,BOC DPM1002/00626 CDM67208
08/01/2016,BOC DPM1002/01100 CDM67217
18/01/2016,BOC DPM1002/01110 CDM67100
25/01/2016,BOC DPM1002/01513 CQM67203
25/01/2016,BOC DPM1002/01292 CQM67144
25/01/2016,BOC DPM1002/00789 CDM67018
25/01/2016,BOC DPM1002/00863 CDM67227
27/01/2016,BOC DPM1002/00994 CDM67228
26/01/2016,NCB DPM1002/01510 CDM67822
26/01/2016,HT Consulting
27/01/2015,HSBC DPM1002/00532 CQM5848
28/01/2016,BOC DPM1002/00859 CDM67035
01/02/2016,BOC DPM1002/00991 CDM67059
01/02/2016,BOC DPM1002/00633 CDM67001
03/02/2016,HSBC DPM1002/00133 CQM585D
04/02/2016,BOC DPM1002/01526 CQM67195
02/02/2016,BOC DPM1002/01111 CDM67196
02/02/2016,BOC DPM1002/01275 CDM67127
04/02/2016,HSBC DPM1002/00496 CDM58D8
05/02/2016,HSBC DPM1002/00781 CQM58A3
05/02/2016,BOC DPM1002/01142 CQM67111
12/02/2016,BOC DPM1002/01098 CQM67090
16/02/2016,BOC DPM1002/01357 CQM67168
16/02/2016,HASE DPM1002/01016 CQM4C61
15/02/2016,HASE DPM1002/00296 CQM4C1C
19/02/2016,BOC DPM1002/00792 CQM67022
25/02/2016,HSBC DPM1002/00452 CQM58B2
25/02/2016,HSBC DPM1002/00535 CQM58E5
29/02/2016,BOC DPM1002/01424 CDM67182
02/03/2016,HSBC DPM1002/01122 CQM589B
02/03/2016,BOC DPM1002/01115 CQM95808
14/03/2016,HASE DPM1002/00594 CQM4C5D
11/03/2016,HASE DPM1002/01331 CQM4C75
31/03/2016,BOC DPM1002/00993 CDM67061
31/03/2016,Stock Count
19/04/2016,HSBC DPM1002/01266 CQM5889
21/04/2016,BOC DPM1002/00864 CDM67040
13/05/2016,HASE DPM1002/01130 CQM4C39
20/05/2016,HASE DPM1002/00526 CQM4C8E
17/05/2016,HASE DPM1002/00292 CQM4C38
18/05/2016,BOC DPM1002/01254 CQM67125
27/05/2016,HASE DPM1002/00525 CQM4C29
03/06/2016,BOC DPM1002/01514 CQM67204
15/06/2016,HASE DPM1002/00506 CQM4C44
25/07/2016,HSBC DPM1002/00348 CQM58B8
26/07/2016,NCB DPM1002/01955 CQM67841
06/09/2016,HASE DPM1002/01702 CQM4C80
13/09/2016,HSBC DPM1002/01121 CQM5811
28/09/2016,BOC DPM1002/00951 CQM67051
02/11/2016,BOC DPM1002/00796 CDM67024
03/11/2016,BOC DPM1002/00626 CDM67208
03/11/2016,BOC DPM1002/00626 CDM67065
15/11/2016,HT Consulting
25/11/2016,HASE DPM1002/00522 CQM4C96
25/11/2016,BOC DPM1002/01277 CQM67129
26/11/2016,BOC DPM1002/01308 CDM67155
28/11/2016,BOC DPM1002/01251 CDM67179
29/11/2016,HASE DPM1002/00413 CQM4C10
02/12/2016,BOC DPM1002/00866 CQM67224
05/12/2016,BOC DPM1002/00990 CQM67058
07/12/2016,BOC DPM1002/00850 CQM67030
08/12/2016,HSBC DPM1002/00542 CQM5807
08/12/2016,HSBC DPM1002/00781 CQM58A3
13/12/2016,BOCHK DPM1002/00989 CDM67226
16/12/2016,BOCHK DPM1002/01246 CDM67117
21/12/2016,HT Consulting (Asia) Sdn Bhd
23/12/2016,HASE DPM1002/00554 CQM4C9E
30/12/2016,BOCHK DPM1002/01234 CDM67113
28/12/2016,BOCHK DPM1002/01252 CDM67239
31/12/2016,HSBC DPM1002/01014 CQM5803
03/01/2017,HASE DPM1002/01019 CQM4C47
06/01/2017,HASE DPM1002/00451 CQM4C36
16/01/2017,BOC DPM1002/00855 CDM67031
16/01/2017,BOC DPM1002/01840 CDM67020
18/01/2017,BOC DPM1002/01102 CDM67211
20/01/2017,BOC DPM1002/00951 CQM67051
24/01/2017,BOC DPM1002/00856 CQM67032
26/01/2017,BOC DPM1002/00866 CQM67224
25/01/2017,HASE DPM1002/01187 CQM4C15
25/01/2017,BOC DPM1002/00791 CDM67021
04/02/2017,HASE DPM1002/00281 CQM4C11
07/02/2017,HASE DPM1002/01190 CQM4C65
13/02/2017,BOCHK DPM1002/01099 CDM67084
13/02/2017,BOCHK DPM1002/01338 CDM67143
21/02/2017,HASE DPM1002/01129 CQM4C59
27/02/2017,HASE DPM1002/00649 CQM4C00
27/02/2017,BOC DPM1002/01464 CDM67081
01/03/2017,BOC DPM1002/00990 CQM67058
06/03/2017,HSBC DPM1002/01849 CQM5855
06/03/2017,HSBC DPM1002/01811 CQM5865
07/04/2017,HASE DPM1002/01021 CQM4C48
12/04/2017,HASE DPM1002/00446 CQM4C5A
13/04/2017,BOC DPM1002/01255 CQM67126
20/04/2017,HASE DPM1002/01018 CQM4C46
21/04/2017,HASE DPM1002/00593 CQM4c17
28/04/2017,HASE DPM1002/00554 CQM4C9E
08/05/2017,HASE DPM1002/00285 CQm4C1E
08/05/2017,BOC DPM1002/00633 CDM67001
12/05/2017,HSBC DPM1002/01796 CQM58BF
12/05/2017,HSBC DPM1002/00497 CQM58FE
18/05/2017,BOC DPM1002/00996 CQM67067
18/05/2017,BOC DPM1002/00996 CQM67067
25/05/2017,BOCHK DPM1002/01141 CDM67110
19/06/2017,HASE DPM1002/00412 CDM4C09
04/07/2017,HSBC DPM1002/00227 CQM586B
27/07/2017,BOC DPM1002/00862 CQM67038
27/07/2017,HASE DPM1002/01140 CQM4C6E
06/08/2017,HASE DPM1002/01130 CQM4C39
12/09/2017,HASE DPM1002/01020 CQM4C07
13/10/2017,BOCHK DPM1002/01141 CDM67110
17/10/2017,HASE DPM1002/01454 CQM4C73
23/10/2017,HSBC DPM1002/01242 CQM5825
31/10/2017,BOC DPM1002/01002 CDM67238
07/11/2017,HSBC DPM1002/01145 CQM58FD
07/11/2017,BOC DPM1002/01276 CDM67128
09/11/2017,BOC DPM1002/00994 CDM67228
10/11/2017,BOC DPM1002/00900 CDM67046
09/11/2017,HSBC DPM1002/01242 CQM5825
21/11/2017,HSBC DPM1002/00869 CDM67240
21/11/2017,BOC DPM1002/01006 CDM67075
23/11/2017,BOC DPM1002/01006 CDM67075
24/11/2017,HASE DPM1002/00551 CQM4C20
23/11/2017,HASE DPM1002/00300 CQM4C3D
24/11/2017,BOCHK DPM1002/01513 CDM67203
01/12/2017,HASE DPM1002/01018 CQM4C46
30/11/2017,BOCHK DPM1002/00949 CDM67052
05/12/2017,HSBC DPM1002/00364 CQM58B3
08/12/2017,HASE DPM1002/01342 CQM4C34
09/12/2017,BOCHK DPM1002/00628 CDM67229
11/12/2017,HSBC DPM1002/01268 CQM5822
11/12/2017,HSBC DPM1002/01326 CQM5826
13/12/2017,BOC DPM1002/01323 CDM67163
12/12/2017,HSBC DPM1002/01145 CQM58FD
18/12/2017,HASE DPM1002/01445 CQM4C83
16/12/2017,HASE DPM1002/01872 CQM4C01
18/12/2017,HSBC DPM1002/00265 CQM588A
18/12/2017,HSBC DPM1002/00837 CQM58CC
19/12/2017,BOCHK DPM1002/01248 CDM67119
18/12/2017,BOCHK DPM1002/00863 CDM67227
18/12/2017,BOCHK DPM1002/01461 CDM67193
19/12/2017,NCB DPM1002/01430 CDM67815
20/12/2017,HASE DPM1002/01189 CQM4C63
19/12/2017,BOC DPM1002/01142 CQM67111
15/12/2017,HASE DPM1002/01232 CQM4C72
19/12/2017,HSBC DPM1002/00530 CQM5839
19/12/2017,BOC DPM1002/00993 CDM67061
20/12/2017,BOC DPM1002/01010 CDM67178
21/12/2017,HASE DPM1002/01015 CQM4C45
21/12/2017,BOC DPM1002/00605 CQM67005
21/12/2017,HSBC DPM1002/01146 CQM5836
21/12/2017,HASE DPM1002/01191 CQM4C70
18/12/2017,BOC DPM1002/00858 CDM67034
20/12/2017,HASE DPM1002/00451 CQM4C36
20/12/2017,HSBC DPM1002/00498 CQM58C5
28/12/2017,HASE DPM1002/00445 CQM4C1F
08/01/2018,HSBC DPM1002/00647 CQM5814
08/01/2018,HSBC DPM1002/01123 CQM5815
06/01/2018,HSBC DPM1002/01796 CQM58BF
10/01/2018,HASE DPM1002/00648 CQM4C5F
10/01/2018,HASE DPM1002/00648 CQM67824
11/01/2018,HASE DPM1002/00450 CQM4C4E
13/01/2018,NCB DPM1002/01297 CDM67805
14/01/2018,HSBC DPM1002/01800 CQM58CB
16/01/2018,HT Consulting
15/01/2018,HASE DPM1002/01438 CQM4C9D
22/01/2018,HSBC DPM1002/00344 CQM5871
23/01/2018,BOC DPM1002/00631 CDM67006
30/01/2018,BOC DPM1002/00952 CDM67055
30/01/2018,BOC DPM1002/01282 CDM67134
29/01/2018,HSBC DPM1002/01328 CQM5806
30/01/2018,HSBC DPM1002/01124 CQM5816
30/01/2018,HSBC DPM1002/01148 CQM58DB
31/01/2018,BOCHK DPM1002/01239 CDM67115
01/02/2018,BOCHK DPM1002/00867 CDM67043
05/02/2018,HSBC DPM10020/01245 CQM587E
05/02/2018,BOC DPM1002/01107 CDM67198
05/02/2018,BOCHK DPM1002/00901 CDM67241
07/02/2018,HSBC DPM1002/01188 CQM5817
06/02/2018,HASE DPM1002/00592 CQM4C6D
07/02/2018,HASE DPM1002/01090 CQM4C79
07/02/2018,HSBC DPM1002/00362 CQM5829
05/02/2018,BOC DPM1002/01102 CDM67211
09/02/2018,BOCHK DPM1002/00994 CDM67228
06/02/2018,BOCHK DPM1002/01322 CDM67164
06/02/2018,HSBC DPM1002/00305 CQM587D
06/02/2018,BOC DPM1002/01338 CDM67143 
07/02/2018,HASE DPM1002/01192 CQM4C3E
09/02/2018,BOC DPM1002/00900 CDM67046
14/02/2018,HSBC DPM1002/01147 CQM5804
15/02/2018,NCB DPM1002/01465 CDM67817
15/02/2018,BOC DPM1002/00793 CDM67023
02/03/2018,HSBC DPM1002/01840 CQM58A9
06/03/2018,BOC DPM1002/00768 CQM67016
09/03/2018,BOCHK DPM1002/00620 CDM67004
12/03/2018,HSBC DPM1002/01941 CQM5820
12/03/2018,BOC DPM1002/01013 CDM67054
19/03/2018,HASE DPM1002/00550 CQM4C9A
19/03/2018,HASE DPM1002/00526 CQM4C8E
19/03/2018,BOC DPM1002/02114 CDM67020
26/03/2018,HASE DPM1002/01189 CQM4C63
27/03/2018,BOCHK DPM1002/01456 CDM67188
29/03/2018,Stock Count
25/04/2018,HSBC DPM1002/00369 CQM5844
26/04/2018,HASE DPM1002/00536 CQM4C60
07/05/2018,HT Consulting
02/08/2018,HASE DPM1002/01193 CQM4C69
03/08/2018,BOC DPM1002/00951 CQM67051
06/08/2018,HASE DPM1002/01591 CQM4C2D
08/08/2018,BOC DPM1002/01593 CDM67012
09/08/2018,HSBC DPM1002/00260 CQM588B
09/08/2018,HSBC DPM1002/01829 CQM5875
09/08/2018,HSBC DPM1002/01918 CQM58D9
09/08/2018,HSBC DPM1002/01915 CQM58D7
09/08/2018,HSBC DPM1002/01835 CQM5828
09/08/2018,BOC DPM1002/00858 CDM67034
09/08/2018,HASE DPM1002/02146 CQM4C6A
09/08/2018,BOC DPM1002/02123 CDM67203
10/08/2018,HSBC DPM1002/01265 CQM58DF
10/08/2018,HSBC DPM1002/01917 CQM5886
10/08/2018,HSBC DPM1002/00227 CQM586B
10/08/2018,HASE DPM1002/00300 CQM4C3D
10/08/2018,HASE DPM1002/01088 CQM4C93
10/08/2018,HSBC DPM1002/00452 CQM58B2
10/08/2018,HSBC DPM1002/01852 CQM584A
11/08/2018,HSBC DPM1002/00260 CQM588B
14/08/2018,HSBC DPM1002/02053 CQM586E
14/08/2018,HSBC DPM1002/01841 CQM58AB
27/08/2018,HSBC DPM1002/00286 CQM58D4
31/08/2018,BOCHK DPM1002/01109 CQM67237
14/09/2018,HT Consulting
26/10/2018,HASE DPM1002/00420 CQM4C13
03/11/2018,HSBC DPM1002/00344 CQM5871
06/11/2018,BOC DPM1002/00847 CQM67027
14/11/2018,BOC DPM1002/00861 CDM67037
13/11/2018,BOCHK DPM1002/01240 CDM67116
16/11/2018,HASE DPM1002/01018 CQM4C46
21/11/2018,HASE DPM1002/01454 CQM4C73
28/11/2018,HASE DPM1002/00414 CQM4C42
04/12/2018,HASE DPM1002/01434 CQM4C22
05/12/2018,HASE DPM1002/00540 CQM4C19
08/12/2018,HSBC DPM1002/00265 CQM588A
11/12/2018,HSBC DPM1002/00304 CQM587F
13/12/2018,HSBC DPM1002/00954 CQM58CF
14/12/2018,HSBC DPM1002/01121 CQM5811
17/12/2018,HASE DPM1002/00292 CQM4C38
31/12/2018,BOCHK DPM1002/01319 CDM67160
31/12/2019,BOC DPM1002/00950 CDM67050
31/12/2019,BOC DPM1002/01249 CDM67120
31/12/2018,BOCHK DPM1002/00863 CDM67227
02/01/2019,BOC DPM1002/01285 CDM67137
03/01/2019,BOC DPM1002/00995 CDM67066
03/01/2019,BOC DPM1002/01249 CDM67120
04/01/2019,HSBC DPM1002/01328 CQM5806
11/01/2019,HASE DPM1002/02132 CQM4C92
12/01/2019,BOC DPM1002/00863 CDM67227
14/01/2019,HSBC DPM1002/01267 CQM5846
16/01/2019,HSBC DPM1002/01149 CQM58EC
19/01/2019,HSBC DPM1002/00448 CQM587D
20/01/2019,HSBC DPM1002/01799 CQM58A2
24/01/2019,BOC DPM1002/00866 CQM67224
25/01/2019,HASE DPM1002/01269 CQM4C89
26/01/2019,HSBC DPM1002/01433 CQM586C
29/01/2019,HASE DPM1002/00526 CQM4C8E
29/01/2019,BOC DPM1002/01094 CDM67082
30/01/2019,BOC DPM1002/00999 CDM67063
30/01/2019,HASE DPM1002/01870 CQM4C91
01/02/2019,NCB DPM1002/01312 CDM67808
04/02/2019,BOC DPM1002/01105 CDM67097
13/02/2019,HASE DPM1002/00449 CQM4C6B
20/02/2019,BOC DPM1002/00952 CDM67053
22/02/2019,HSBC DPM1002/00417 CQM581A
01/03/2019,BOC DPM1002/00631 CQM67006
09/03/2019,BOC DPM1002/01417 CDM67174
20/03/2019,HSBC DPM1002/00371 CQM5836
28/03/2019,HASE DPM1002/01446 CQM4C2B
28/03/2019,NCB DPM1002/01552 CQM67826
30/04/2019,HSBC DPM1002/00371 CQM5836
06/05/2019,HASE DPM1002/01435 CQM4C87
03/07/2019,BOC DPM1002/01316 CQM67157
04/07/2019,BOCHK DPM1002/0094 CDM67228
08/07/2019,HT Consulting
01/08/2019,BOC DPM1002/00863 CDM67227
06/08/2019,HT Consulting
22/08/2019,HSBC DPM1002/00504 CQM58D
27/08/2019,HASE DPM1002/01158 CQM4C2E
02/10/2019,BOC DPM1002/01302 CQM67149
15/10/2019,HASE DPM1002/01022 CQM4C49
23/10/2019,BOC DPM1002/01000 CDM67064
14/11/2019,HASE DPM1002/00550 CQM4C9A
19/11/2019,HASE DPM1002/01016 CQM4C61
22/11/2019,BOC DPM1002/00868 CDM67044
06/12/2019,BOC DPM1002/00865 CQM67041
06/12/2019,BOC DPM1002/01416 CDM67173
10/12/2019,HASE DPM1002/01445 CQM4C83
16/12/2019,HSBC DPM1002/00261 CQM588C
16/12/2019,HSBC DPM1002/01444 CQM5843
02/01/2020,BOC DPM1002/01338 CDM67143 
23/01/2020,HSBC DPM1002/00371 CQM5836
30/01/2020,HASE DPM1002/01331 CQM4C75
11/02/2020,HASE DPM1002/01129 CQM4C59
20/02/2020,HSBC DPM1002/00344 CQM5871
09/03/2020,HASE DPM1002/01187 CQM4C15
09/03/2020,HASE DPM1002/01187 CQM4C15
09/03/2020,BOC DPM1002/01104 CDM67085
17/03/2020,BOCHK DPM1002/01300 CDM67147
18/03/2020,In House Taken
15/04/2020,HSBC DPM1002/00399 CDM5812
07/05/2020,HSBC DPM1002/01827 CDM58E4
15/05/2020,BOC DPM1002/01253 CQM67124
09/06/2020,HSBC DPM1002/00364 CQM58B3
09/06/2020,HSBC DPM1002/00364 CQM58B3
20/07/2020,HASE DPM1002/01187 CQM4C15
29/07/2020,BOCHK DPM1002/00902 CDM67048
30/07/2020,BOC DPM1002/01338 CDM67143 
