CQM,Date,Arrival Time,Machine Down?,Problem Code,Fault Found  by vendor,Remarks
4C00,03-Jun,12:15,N,Request,Pm check,"Pretentive Maintenance, ESU activation"
4C01,01-Jun,17:15,N,NUB,Reject cheque,clean roller as  insert cheque difficult in feeder
4C01,04-Jun,17:10,N,NUD,jam cheque at scanner.,cleaning and adjust scanner roller
4C01,09-Jun,11:30,N,NUD,Jam cheque,"Remove cheque at aligner, adjust thickness gap & feeder pad, clear black line"
4C01,12-Jun,16:05,N,NIC,Black line,Clean scanner. Adjust ink roller.
4C01,18-Jun,10:00,N,NUD,jam cheque at scanner.,follow up for scanner replacement due to scanner roller
4C01,18-Jun,16:50,N,Request,Follow up,Replaced scanner unit
4C01,30-Jun,10:00,N,NUD,Jam cheque at scanner.,replaced ribbon and pressure roller.
4C02,29-Jun,17:00,Y,NGC,Auto reset,"retain card in card holder,collect card and replaced ribbon cartiage"
4C03,16-Jun,13:00,N,NOA,out of service,Turn on computer
4C03,17-Jun,17:15,N,NGC,Out of service,Restarted machine. Rebuid array. Cleaned sensors. Serviced machine. Test OK.
4C03,19-Jun,17:15,N,NGC,CQM slow,reboot CQM. Service machine
4C03,21-Jun,11:05,N,Request,Reload Program,Reload Program
4C04,10-Jun,10:00,N,NZA,CAS out,printer advice empty. Replace a new roller advice
4C04,16-Jun,10:30,N,NUD,Fold cheque on aligner,Remove fold cheque from aligner. Normal service machine. Test ok
4C07,04-Jun,10:00,N,Request,Pm check,"Pretentive Maintenance, ESU activation"
4C08,03-Jun,17:20,N,NIC,small image,TSP and clean scanner
4C08,04-Jun,10:30,N,Request,Pm check,"Pretentive Maintenance, ESU activation"
4C08,08-Jun,17:40,N,NZA,CAS problem,No problem found. Cleaned CAS printer roller. Serviced machine. Test OK.
4C0A,30-Jun,13:55,N,Request,Health check - no endorsement,Replace ribbon.
4C0B,01-Jun,15:10,N,NIA,Crossing blur,Replace stamp
4C0B,04-Jun,14:00,N,NIC,Image small,Perform TSP. Adjust scanner gap.
4C0B,24-Jun,16:30,N,NUD,Jam cheque,Remove jammed cheque at bin 2. Rescrew bar lock.
4C0C,03-Jun,11:10,N,NIC,Black line,The front scanner is dirty. Action: Clean scanner and recalibrate scanner. Test ok.
4C0C,13-Jun,11:25,N,NOA,Out of service,Cutoff wrong and ribbon is broken. Reset cutoff and replace ribbon. Test ok.
4C0C,15-Jun,20:15,N,NIC,small image,clean scanner and roller. Perform TSP. tested ok.
4C0C,16-Jun,14:00,N,NGB,Out of service,"Image not arrival. Cleaned sensor (F6), cleaned DPM LAM plug, tested ok"
4C0C,18-Jun,10:10,Y,HTP,Out of service,Remove jammed cheque at feeder. Clean roller and sensor. Replace o-ring (collection path).
4C0C,25-Jun,11:30,N,Request,Health checked,clean CAS printer. Adjust the yellow belt.
4C0E,29-Jun,15:35,N,Request,PM Check,PM CHECK with reference to RI/PM/202001. Activation ESU
4C0F,26-Jun,10:45,N,NGC,Auto reset,"reboot machine, clean scanner"
4C10,30-Jun,17:00,Y,HTP,Jam cheque at collection,"Bin 2 solenoid engaged, replaced"
4C11,02-Jun,13:10,N,Request,Preventive Maintenance,"Pretentive Maintenance, ESU activation"
4C11,16-Jun,11:30,N,NIC,Endorsement,No rear image. Replug scanner cable. Serviced machine. Test Ok.
4C12,02-Jun,12:45,N,NGB,Out of service,"Sensor (F9) engage. Adjust flat belt (bend), tested ok"
4C12,06-Jun,14:30,N,NUD,jam cheque,"jam at bin 1, clean solenoid at bin 1"
4C12,07-Jun,15:00,N,NUD,Jammed cheque,"Adjust solenoid (bin 1), tested ok"
4C12,08-Jun,11:00,N,NUD,Cheque jam,The bin 1 solenoid is down. Fix bin 1 solenoid and remove cheque. Test ok.
4C13,26-Jun,17:10,N,NIA,Crossing problem,"Replace ink roller and reinstalled ribbon, clean scanner. Test OK."
4C14,05-Jun,11:30,N,NIA,No crossing,replaced the stamp.
4C15,02-Jun,14:10,N,NUD,Cheque jam,The bend belt is shift. Rescrew bend belt and clean scanner. Test ok.
4C15,03-Jun,12:30,N,NGB,Out of service,"clean F5, F29, F1 sensor. Tested ok."
4C15,04-Jun,11:30,N,NGB,Out of service,Clean F5 sensor. Tested ok.
4C15,04-Jun,17:00,Y,HTP,Out of service,Replaced the F5 sensor. Tested ok.
4C15,16-Jun,18:30,N,NUA,Jammed card,"Remove card, clean card reader, scanner and roller. Test OK."
4C16,02-Jun,13:30,N,NIB,Back endorsement blur,Rescrew the printer head gap and replace ribbon. Test ok.
4C16,02-Jun,17:30,N,NUA,Card reader,"cleaning card reader,Test ok"
4C16,05-Jun,12:45,Y,HCR,Card reader problem,Replace card reader(repaired) and test ok.
4C17,03-Jun,13:25,N,NIC,Black line,perform TSP. Clean scanner. Tested ok.
4C17,24-Jun,11:15,N,NGB,Jam cheque,No jammed found. Clean F6 sensor. Replace ribbon.
4C18,06-Jun,15:00,N,NZA,No advise,"Remove advise, tested ok"
4C18,10-Jun,16:15,N,NZA,CAS problem,"Remove jam cas. Clean printer roller, print head. Replace new stamp."
4C18,16-Jun,11:00,N,NGZ,Controller close.,Clean scanner. Normal service machine. Test ok
4C18,23-Jun,15:55,N,NBZ,Missing 24 V,Normal service machine. Clean scanner. Replace ink roller.
4C18,27-Jun,11:00,N,Request,HEALTH CHECK-CAS,Clean printer. Replaced o-ring collection.
4C18,29-Jun,10:00,N,NGB,Jammed cheque,"No jammed found. Cleaned sensors, Serviced machine. Test OK."
4C19,07-Jun,15:40,Y,HCA,"Jammed cheque, no CAS","Replaced ejection roller, removed cheque at aligner, tested ok"
4C19,10-Jun,11:00,N,Request,Health Check CAS,No CAS at 11:23am on 6/6 and guard force arrived to resume printer at 11:37am. Check record and upload logs. Test ok.
4C19,12-Jun,17:45,N,NOZ,No problem found,"No jam cheque found. Clean prefeed roller, scanner and drum belt."
4C1A,05-Jun,10:40,Y,HTP,Jammed cheque,"Replace flat belt (145, L6), tested ok"
4C1A,16-Jun,13:55,N,NZA,No cas,cleaning printer and renew cas
4C1B,19-Jun,11:35,N,NBA,Collection box problem,"Fixed the collection box, replace wiring, clean roller. Test OK. *offered 9:00"
4C1D,24-Jun,11:45,N,Request,Pm check,Pm check with reference to document RI/PM/202006.Esu activative
4C1D,30-Jun,15:30,N,NUD,Jam cheque at aligner,"Remove cheque, adjust thickness gap, clean paper path"
4C1F,03-Jun,9:45,N,HCA,Advise blur,Replace cas printer. Test ok
4C1F,09-Jun,13:00,N,NZA,CAS blur,Clean printer. Adjust ink roller.
4C1F,26-Jun,16:25,N,NZA,CAS can't cut,Clear paper bits
4C1F,30-Jun,10:10,Y,HCA,Advise blur,"Replace CAS print head, tested ok"
4C20,02-Jun,12:20,N,NUB,High reject,clean and adjust feeder. Clean scanner and ribbon.
4C20,03-Jun,11:55,N,NUD,Jammed cheque,"Adjust red belt, clean sensor and roller. Test oK."
4C20,11-Jun,11:20,N,NUD,Jammed cheque,"Remove cheuqe near in alinger, clean sensor and roller. Test OK."
4C20,12-Jun,11:00,N,NUD,Jammed cheque,"Remove cheuqe near in alinger, clean roller, sensor and alinger. Test OK."
4C20,30-Jun,13:15,Y,HTP,can't insert cheque,"Replace o-ring (fat, feeder)"
4C21,03-Jun,21:15,N,NGB,Printer lift error,"Clean sensor, clear black line"
4C21,10-Jun,10:10,Y,HTP,Out of service,replaced the scanner belt. Tested ok.
4C21,11-Jun,16:30,N,NGC,Out of service,show host messge in DPM display. Clean DPM board. Tested ok.
4C21,15-Jun,18:45,Y,HPC,out of service,replace mdm board. Adjust stamp gap.
4C22,24-Jun,12:20,N,NOZ,Jam cheque,No jammed found. Clean sensors. Replace ribbon.
4C23,12-Jun,11:10,N,Request,Box wire shift,Replace box wire
4C23,18-Jun,13:00,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C24,02-Jun,14:00,N,Request,Health checked,clean CAS printer. Tested ok.
4C24,04-Jun,10:30,N,Request,Health check - advise,"Adjust printer gap, clean roller and sensor. Test OK."
4C24,08-Jun,15:25,N,NZA,CAS roblem,"Adjust printer gap, clean sensor and roller. Test OK."
4C24,09-Jun,10:00,N,Request,Health check - advise,"removed jam advice. Clean cutter, printer head and roller. Tested ok."
4C24,15-Jun,10:10,N,NZA,Jammed advise,"Cleaned CAS printer, tested ok"
4C24,16-Jun,10:30,N,NZA,Jam CAS,Removed jammed advice.
4C24,18-Jun,15:30,N,NZA,CAS,Remove jammed advice. Clean printer and scanner.
4C24,19-Jun,11:00,N,NZA,jam advice,removed jam advice. Adjust the rejection roller. Tested ok.
4C24,20-Jun,11:20,Y,NZA,No advise,"Replace CAS printer, tested ok"
4C24,26-Jun,10:45,N,NZA,CAS jam,CAS drop down. Adjust the printer's arm and adjust the metal film. Clean scanner and test ok.
4C26,05-Jun,13:10,N,NUB,Feeder gate cannot open,"Adjust feeder gate solenoid, fix endorsement blur"
4C26,15-Jun,17:00,N,NIB,Endorsement image blur,Cleaned scanner & rollers. Perform TSP. Serviced machine. Test OK.
4C26,29-Jun,10:00,N,Request,PM Check,PM CHECK with reference to RI/PM/202001. Activation ESU
4C26,29-Jun,10:00,N,NUD,jam cheque,install c-ring in bin 1
4C27,14-Jun,15:00,N,NUD,Cheque on aligner,Remove jam cheque. Replace ink roller. Test ok
4C27,15-Jun,13:00,N,NUD,jam cheque,"jam at aligner, install c-ring in solenoid as it lose"
4C28,11-Jun,10:15,N,NGB,Jammed cheque,"No jammed found. Cleaned sensors, Serviced machine. Test OK."
4C28,16-Jun,10:40,N,Request,Health check - blue screen,normal on arrival. Service machine
4C28,16-Jun,20:40,N,NZA,CAS problem,"Check printer and setting, clean sensor and roller. Test OK."
4C28,28-Jun,12:30,N,NGC,Out of service,Check lan. Adjusted thick detect.
4C29,08-Jun,12:40,N,Request,Pm check,"Pm CHECK with reference to RI/PM/202001,ESU activation,replaced collection o-ring*2"
4C29,08-Jun,13:30,N,NUA,Card reader,"card reader com card error,will be follow"
4C29,08-Jun,16:15,Y,HPC,Mos chip card issue,Replace with moxa card and cable. Test ok
4C29,10-Jun,14:55,N,NGB,Out of service,"Clean the F9 sensor, scanner and roller. Test OK."
4C2B,02-Jun,12:20,N,NUD,Jammed cheque,"Adjust solenoid (bin 1), tested ok"
4C2B,04-Jun,12:00,N,NGB,Out of service,"Cleaned sensor (F15), tested ok"
4C2B,11-Jun,12:00,N,NGB,Jammed chqeue,"Adjust solenoid (Aligner), tested ok"
4C2C,02-Jun,12:45,N,NZA,Out of service,No CAS. Fix the printer's arm sensor and clean printer roller. Adjust the metal film and clean scanner. Test ok.
4C2C,03-Jun,11:30,N,NZA,Jam advice.,reset the  cas printer. Tested ok.
4C2C,04-Jun,10:30,N,NZA,Jam advice.,adjust the open gate. Tested ok.
4C2C,04-Jun,15:40,Y,HCA,Out of service,Jam advice. Replaced the CAS printer. Tested ok.
4C2C,05-Jun,12:00,N,Request,Health Check ,Health Check - Clean printer
4C2C,05-Jun,12:00,N,NZA,CAS jam,CAS jammed at cutter. Clean CAS cutter and adjust the metal film. Test ok
4C2C,05-Jun,17:25,Y,HCA,CAS problem,"Replace printer, clean scanner and roller. Test OK."
4C2C,08-Jun,10:15,N,NZA,Out of service.,Adjust the CAS printer. Tested ok.
4C2C,16-Jun,14:00,N,Request,Pm check,PM CHECK with reference to RI/PM/202001.
4C2C,20-Jun,11:30,N,Request,Health check for CAS drop,Adjust ejection roller of CAS printer
4C2C,29-Jun,11:00,N,NZA,CAS,Clean printer and scanner.
4C2C,30-Jun,10:00,N,NZA,jam advice,"Clean the cutter, roller and Print head. Tested ok."
4C2C,30-Jun,16:30,N,NZA,jam advice,"Clean the cutter, roller and Print head. Tested ok."
4C2D,16-Jun,10:00,N,Request,CAS drop,"Adjust ejection roller of CAS printer, replace DC gear due to endorsement incomplete"
4C2D,25-Jun,14:45,N,NIA,crossing blur,replaced the ink roller. Tested ok.
4C2F,08-Jun,15:20,N,NOZ,CAS jam,"Printer is normal, no jam. Check printer and clean scanner. Test ok."
4C2F,30-Jun,9:50,N,NGC,Auto reset,"Cleaned card reader, tested ok"
4C30,09-Jun,14:00,N,NUD,Jam cheque at aligner. ,removed the jam cheque. Tested ok.
4C30,14-Jun,12:00,N,NGB,No jam cheque found,Clean scanner and sensor. Test ok
4C30,15-Jun,10:30,N,NGB,Out of service,Adjust the red belt. Clean scanner belt. Tested ok.
4C34,03-Jun,10:00,N,Request,Pm check,"Pretentive Maintenance, ESU activation"
4C35,03-Jun,14:45,N,NIA,Crossing problem,"Replace ink roller, clean sensor. Test OK."
4C36,05-Jun,16:30,N,NIC,black line,"clean scanner, test ok"
4C36,29-Jun,17:00,N,NZA,CAS,"Remove advise, tested ok"
4C37,30-Jun,19:40,N,NGB,Out of service,"Clean the F10 sensor, scanner and roller. Test OK."
4C38,01-Jun,9:30,N,NGB,Out of service,Clean F6 sensor. Replug sensor cable.
4C38,20-Jun,11:00,N,Request,Reload Program,Reload Program as requested by HASE
4C39,09-Jun,13:30,N,NUD,Cheque jam,The bin 1 solenoid is down. Fix bin 1 solenoid and remove cheque. Test ok.
4C39,13-Jun,21:00,N,NGB,F29 sensor engaged,Clean sensor
4C39,19-Jun,13:20,N,Request,Find lose cheque,no lose cheque find. Upload log
4C3A,02-Jun,10:30,N,Request,Health check,Cleaned CAS printer head & rollers.
4C3A,08-Jun,15:00,N,NZA,CAS jam,Clean CAS printer and adjust the metal film. Test ok.
4C3A,09-Jun,10:45,Y,HTP,Jam cheque,"Remove cheque at scanner, replace scanner belt & CAS printer"
4C3A,09-Jun,13:20,N,NUD,Jam cheque,Remove jammed cheque at escrow. Clean and adjust escrow roller.
4C3A,29-Jun,17:15,N,NUD,Solenoid (bin 1) missing c-ring,"Remove cheque at sorter, install new c-ring"
4C3A,30-Jun,9:30,N,NUD,Jammed cheque / advise,"Installed the c-ring (bin 1, solenoid), cleaned roller, tested ok"
4C3B,11-Jun,14:30,N,NOZ,CAS printing incomplete,The printing is clear. Check printer and clean printer. Clean scanner and test ok.
4C3B,27-Jun,12:45,N,NUD,Cheque jam,Remove cheque and rescrew red belt. Clean scanner and test ok.
4C3C,09-Jun,14:30,N,NOZ,touch problem,no find problem
4C3C,11-Jun,11:00,N,NUD,jam cheque,"jam at bend, replace fold cheque"
4C3D,15-Jun,9:45,N,NUD,jam cheque at scanner.,removed the jam cheque. Replaced the scanner belt. Tested ok.
4C3D,16-Jun,10:10,N,NGB,OUt of service,replug and adjust the scanner. Tested ok.
4C3E,09-Jun,13:30,N,NZA,CAS problem,"Check printer and setting, clean roller. "
4C3E,09-Jun,16:30,Y,HCA,CAS problem,"Replace printer, clean scanner, sensor and roller. Test OK."
4C3E,10-Jun,13:15,N,NZA,CAS problem,"Adjsut printer gate, clean sensor and roller. Test OK."
4C3E,12-Jun,11:00,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C3E,12-Jun,11:00,N,Request,Health check,"cas drop-cleaning and adjust roller,renew a new cas"
4C3E,17-Jun,9:30,N,Request,Health check CAS,"Check printer and setting, adjust printer gap. Test OK."
4C3E,19-Jun,11:30,N,NOA,Out of service,Cutoff wrong. Reset cutoff. Test ok.
4C3E,20-Jun,10:40,N,NZA,CAS problem,"Check printer, clean sensor and roller. Test OK."
4C3E,22-Jun,9:45,N,NZA,CAS problem,"Check printer setting, clean sensor and roller. Test OK."
4C3E,24-Jun,10:45,N,NZA,CAS drop,Adjust ejection roller of CAS printer
4C3E,30-Jun,15:55,N,NZA,CAS,remvoe jam advice. ESU Activation
4C40,15-Jun,16:45,N,NIC,Black line,Clean scanner and roller. Test OK.
4C41,03-Jun,17:30,N,NZA,No CAS,Removed jam advice. Clean printer.
4C41,09-Jun,10:05,N,NUD,Jammed cheque,"Adjust thickness adjuster, clean sensor and roller. Test OK."
4C41,24-Jun,12:20,N,Request,Pm check,"Pm check with reference to document RI/PM/202001,Esu activative"
4C42,02-Jun,15:30,N,Request,Health check,clean printer
4C42,29-Jun,10:00,Y,HSD,No stamp,need follow up drum replacement
4C42,29-Jun,13:00,N,NIA,No stamp,Replace stamp and clean scanner. Test ok.
4C43,16-Jun,16:30,N,Request,Health check CAS,Clean printer and front blackline and stamp.
4C44,23-Jun,10:45,N,Request,PM check,PM CHECK with reference to RI/PM/202006. Acticate ESU key.
4C45,01-Jun,18:15,N,NUD,jam cheque,remove fold cheque from red belt
4C45,02-Jun,16:40,N,Request,Find cheque,Found cheque in bin. Test OK.
4C46,02-Jun,11:15,N,NIC,blackline,"Clean printer sensor, roller, scanner. Test ok "
4C46,07-Jun,18:00,N,NGB,Out of service.,clean DD sensor. Tested ok.
