GetData.Serial No,GetData.CQM ID,GetData.Item No,GetData.Item Description,GetData.Date
1309,CQM67156,NNNEMZZ097,CUTTER THERMAL PRINTER -- VKP80,09/05/3011
1840,CQM58A9,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),31/12/2020
860,CQM67036,,DELL PC,30/12/2020
1105,CQM67097,,DELL PC,27/12/2020
1322,CQM67164,CBXMEPC005,BLACK INK ROLLER,23/12/2020
1822,CQM5883,NNNAAEL025/R,SENSOR ASSY  (U-shape),15/11/2020
2082,CQM58A1,CSDAAEM115     ( old code : CSDAAEM126 ),WHITE CIS MODULE,11/10/2020
268,CQM581A,CSDAAME110,FEED ROLLER ASSY,19/09/2020
2126,CQM4C28,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,18/09/2020
1588,CQM4C2F,NNNMESP034,PIN INOX 3x20  (Collection Bin),18/09/2020
1588,CQM4C2F,CSDMERU047,ROLLER (Collection Bin),18/09/2020
1148,CQM58DB,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),18/09/2020
1105,CQM67097,NNNMEGU021,O-RING ( collection path ),18/09/2020
1946,CQM582D,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),18/09/2020
1456,CQM67188,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,18/09/2020
445,CQM4C1F,NNNMEGU021,O-RING ( collection path ),18/09/2020
268,CQM581A,NNNMECI052,TOOTHED BELT T2.5 330L8,18/09/2020
862,CQM67038,NNNMECI054,TOOTHED BELT T3/351L6,17/09/2020
2040,CQM583C,NNNMECI020,FLAT BELT (SCANNER),17/09/2020
1247,CQM67118,CBXMEPC005,BLACK INK ROLLER,17/09/2020
2268,CQM67246,CBXMEPC005,BLACK INK ROLLER,17/09/2020
1824,CQM58DC,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1846,CQM58B5,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1846,CQM58B5,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1846,CQM58B5,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1189,CQM4C63,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1935,CQM5898,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1511,CQM67823,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1935,CQM5898,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
2169,CQM5886,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
2043,CQM5889,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1935,CQM5898,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI044,TOOTHED BELT T2.5 380H6,16/09/2020
1795,CQM5852,NNNMECI036,"FLAT BELT (Yellow, Bend)",16/09/2020
1935,CQM5898,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),16/09/2020
1795,CQM5852,NNNMEGU021,O-RING ( collection path ),16/09/2020
1935,CQM5898,NNNMEGU021,O-RING ( collection path ),16/09/2020
1189,CQM4C63,NNNMECI020,FLAT BELT (SCANNER),16/09/2020
2169,CQM5886,NNNMEGU021,O-RING ( collection path ),16/09/2020
1846,CQM58B5,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1846,CQM58B5,NNNMECI020,FLAT BELT (SCANNER),16/09/2020
1846,CQM58B5,NNNMEGU021,O-RING ( collection path ),16/09/2020
1846,CQM58B5,CBXMEPC005,BLACK INK ROLLER,16/09/2020
1846,CQM58B5,NNNMECI004,TOOTHED BELT T2.5 145L6,16/09/2020
2169,CQM5886,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
1935,CQM5898,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2043,CQM5889,NNNMEGU021,O-RING ( collection path ),16/09/2020
1795,CQM5852,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2043,CQM5889,NNNMECI054,TOOTHED BELT T3/351L6,16/09/2020
2043,CQM5889,CBXMEPC005,BLACK INK ROLLER,16/09/2020
2169,CQM5886,CBXMEPC005,BLACK INK ROLLER,16/09/2020
1948,CQM5859,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1326,CQM5826,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1872,CQM4C01,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
371,CQM5836,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1948,CQM5859,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1945,CQM581B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1326,CQM5826,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1006,CQM67075,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1948,CQM5859,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1947,CQM5858,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1947,CQM5858,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
371,CQM5836,NNNMECI052,TOOTHED BELT T2.5 330L8,15/09/2020
1121,CQM5811,NNNMEGU021,O-RING ( collection path ),15/09/2020
1867,CQM5830,TTT80,VKP80II THERMIC HEAD,15/09/2020
1948,CQM5859,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1121,CQM5811,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1326,CQM5826,NNNMEGU021,O-RING ( collection path ),15/09/2020
1931,CQM5878,CSDAAEM073,DC GEAR BOX MOTOR ASSY,15/09/2020
1326,CQM5826,CBXMEPC005,BLACK INK ROLLER,15/09/2020
2141,CQM4C23,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
371,CQM5836,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
371,CQM5836,NNNMECI044,TOOTHED BELT T2.5 380H6,15/09/2020
371,CQM5836,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1948,CQM5859,NNNMEGU021,O-RING ( collection path ),15/09/2020
371,CQM5836,NNNMEGU021,O-RING ( collection path ),15/09/2020
1947,CQM5858,NNNMEGU021,O-RING ( collection path ),15/09/2020
1947,CQM5858,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1121,CQM5811,CBXMEPC005,BLACK INK ROLLER,15/09/2020
1121,CQM5811,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1326,CQM5826,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),15/09/2020
1121,CQM5811,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1326,CQM5826,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1799,CQM58A2,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1948,CQM5859,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1947,CQM5858,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/09/2020
1947,CQM5858,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
1326,CQM5826,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1121,CQM5811,NNNMECI054,TOOTHED BELT T3/351L6,15/09/2020
832,CQM589E,NNNMESR001,MECHANICAL LOCK AND KEYS ( CSD Collection Box and Bar ),15/09/2020
1799,CQM58A2,NNNMECI020,FLAT BELT (SCANNER),15/09/2020
1854,CQM5840,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),15/09/2020
1324,CQM67165,NNNMECI036,"FLAT BELT (Yellow, Bend)",14/09/2020
1875,CQM5885,CBXMEPC005,BLACK INK ROLLER,14/09/2020
2126,CQM4C28,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),14/09/2020
1123,CQM5815,CSDMEPC094,PRESSURE ROLLER (CSD2002E),14/09/2020
1698,CQM67220,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",14/09/2020
793,CQM67023,NNNELEO016,PHOTOTRANSISTOR OP505A -- RX,14/09/2020
550,CQM4C9A,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",11/09/2020
834,CQM58C9,NNNMECI020,FLAT BELT (SCANNER),11/09/2020
1928,CQM587B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
834,CQM58C9,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
1927,CQM587A,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1875,CQM5885,CSDMEPC094,PRESSURE ROLLER (CSD2002E),11/09/2020
542,CQM5807,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,11/09/2020
834,CQM58C9,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
1322,CQM67164,NNNMEZZ090,INK RIBBON CARTRIDGE,11/09/2020
834,CQM58C9,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1928,CQM587B,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1927,CQM587A,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1928,CQM587B,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
1927,CQM587A,NNNMECI054,TOOTHED BELT T3/351L6,11/09/2020
2144,CQM4C97,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),11/09/2020
1928,CQM587B,NNNMEGU021,O-RING ( collection path ),11/09/2020
1321,CQM67231,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,11/09/2020
834,CQM58C9,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),11/09/2020
1927,CQM587A,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
1927,CQM587A,NNNMEGU021,O-RING ( collection path ),11/09/2020
1928,CQM587B,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
558,CQM4C4D,MRG445106,ROLLER ( Card Reader ),11/09/2020
1927,CQM587A,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/09/2020
1313,CQM67811,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",11/09/2020
2100,CQM4C8B,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/09/2020
1928,CQM587B,NNNMECI044,TOOTHED BELT T2.5 380H6,11/09/2020
1317,CQM67158,CBXMEPC005,BLACK INK ROLLER,11/09/2020
1277,CQM67129,NNNMEZZ090,INK RIBBON CARTRIDGE,10/09/2020
1011,CQM67076,CBXMEPC005,BLACK INK ROLLER,10/09/2020
541,CQM4C0F,NNNMECI020,FLAT BELT (SCANNER),10/09/2020
1141,CQM67110,CBXMEPC005,BLACK INK ROLLER,10/09/2020
1931,CQM5878,CSDMEPC094,PRESSURE ROLLER (CSD2002E),10/09/2020
1856,CQM5882,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),10/09/2020
