Last Replaced,CQM
30/04/2005,Balance C/F
26/05/2005,Interdeals PL/PO 9466
01/06/2005,DPM1002/00129 CQM5850
01/06/2005,DPM1002/00130 CQM5851
23/06/2005,DPM1002/00137 CQM585B
24/06/2005,DPM1002/00134 CQM585E
29/06/2005,DPM1002/00132 CQM585C
13/07/2005,DPM1002/00133 CQM585D
29/09/2005,DPM1002/00122 CQM5854
22/10/2005,DPM1002/00105 CQM5860
10/11/2005,DPM1002/00105 CQM4C0E
28/11/2005,DPM1002/00123 CQM5852
31/03/2006,Stocktake
13/04/2006,Rototype                                           HT Consulting (Asia) Sdn Bhd
26/05/2006,Rototype Replacement
22/11/2007,DPM1002/00104 CQM5853
23/11/2007,DPM1002/00122 CQM5854
26/03/2008,DPM1002/00342 CQM5899
19/04/2008,DPM1002/00263 CQM5861
22/05/2008,Rototype                                             HT Consulting (Asia) Sdn Bhd
04/06/2008,Rototype                                             HT Consulting (Asia) Sdn Bhd
24/06/2008,DPM1002/00130 CQM5851
22/09/2008,DPM1002/007878 CQM67017
17/10/2008,HSBC DPM1002/00126 CQM5855
23/10/2008,HSBC DPM1002/00256 CQM5872
11/11/2008,HASE DPM1002/00275 CQM4C02
12/11/2008,HASE DPM1002/00291 CQM4C3E
13/11/2008,HASE DPM1002/00216 CQM4C00
28/11/2008,HASE DPM1002/00301 CQM4C2A
29/11/2008,HSBC DPM1002/00374 CQM58BD
16/12/2008,HASE DPM1002/00593 CQM4C17
17/12/2008,HASE DPM1002/00279 CQM4C0E
18/12/2008,HASE DPM1002/00447 CQM4C15
22/12/2008,HASE DPM1002/00277 CQM4C43
25/12/2008,HSBC DPM1002/00341 CQM589D
02/01/2009,HSBC DPM1002/00453 CQM58C6
23/02/2009,HSBC DPM1002/00262 CQM5882
05/03/2009,HSBC DPM1002/00132 CQM585C
10/03/2009,HASE DPM1002/00282 CQM4C68
16/03/2009,HSBC DPM1002/00399 CQM58A8
16/03/2009,HSBC DPM1002/00453 CQM58C6
07/04/2009,HSBC DPM1002/00841 CQM5845
08/04/2009,HASE DPM1002/00593 CQM4C17
14/04/2009,ROTOTYPE
22/04/2009,HSBC DPM1002/00134 CQM585E
27/04/2009,HASE DPM1002/00283 CQM4C03
11/05/2009,HSBC DPM1002/00127 CQM5876
16/05/2009,HSBC DPM1002/00135 CQM585F
29/05/2009,HASE DPM1002/00283 CQM4C03
04/06/2009,HASE DPM1002/00281 CQM4C11
08/06/2009,HSBC DPM1002/00126 CQM5855
23/06/2009,HSBC DPM1002/00269 CQM5887
24/06/2009,HSBC DPM1002/00128 CQM5859
27/06/2009,HSBC DPM1002/00126 CQM5855
